INSTNM,CITY,STABBR,HIGHDEG,CONTROL,HSI,ADM_RATE,SAT_AVG,UGDS,UGDS_HISP,FIRSTGEN_RPY_1YR_RT,PELL_EVER,FIRST_GEN,ICLEVEL,FTFTPCTPELL
Yeshiva Gedolah of Cliffwood,Keyport,NJ,3,2,0,0.5854,NULL,84,0,NULL,NULL,NULL,1,0.1111
Goshen School of Cosmetology,Cleveland,MS,1,3,0,NULL,NULL,39,0,NULL,NULL,NULL,3,1
IBS School of Cosmetology and Massage,Kahului,HI,1,3,0,NULL,NULL,60,0.0667,NULL,NULL,NULL,2,0.4615
UR Beauty & Barber Academy,Sebring,FL,1,3,0,NULL,NULL,35,0.2857,NULL,NULL,NULL,3,0.5667
Urban Barber College,Concord,CA,1,3,0,NULL,NULL,104,0.3365,NULL,NULL,NULL,3,0.4308
Yeshivas Emek Hatorah,Howell,NJ,2,2,0,NULL,NULL,46,0,NULL,NULL,NULL,1,0.2381
Transitions Career Institute School of Nursing,Flushing,NY,1,3,0,NULL,NULL,76,0.0395,NULL,NULL,NULL,3,0.0455
Suncoast Technical Education Center,Brooksville,FL,1,1,0,NULL,NULL,54,0.0185,NULL,NULL,NULL,3,0.5
Stacey James Institute,Parker,CO,1,3,0,NULL,NULL,24,0.0417,NULL,NULL,NULL,2,0.0909
Meridian University,Petaluma,CA,4,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Seminary Bnos Chaim,Lakewood,NJ,2,2,0,0.8056,NULL,159,0,NULL,NULL,NULL,2,0.5429
Avenue Academy A Cosmetology Institute,Albuquerque,NM,1,3,0,NULL,NULL,40,0.65,NULL,NULL,NULL,3,0.4167
Salon Professional Academy of San Antonio,San Antonio,TX,1,3,0,NULL,NULL,55,0.2545,NULL,NULL,NULL,3,0.2647
Red Lake Nation College,Red Lake,MN,2,1,0,NULL,NULL,129,0.0233,NULL,NULL,NULL,2,0.6226
Princess Institute of Beauty,Reedley,CA,1,3,0,NULL,NULL,24,0.875,NULL,NULL,NULL,3,0.625
Vogue International Academy,Houston,TX,1,3,0,NULL,NULL,4,1,NULL,NULL,NULL,3,NULL
Independent Training & Apprenticeship Program,Sacramento,CA,1,3,0,NULL,NULL,26,0.0769,NULL,NULL,NULL,3,0.1563
Victory Career College,Torrance,CA,1,3,0,NULL,NULL,97,0.3608,NULL,NULL,NULL,3,1
Winonah's International School of Cosmetology,Hoover,AL,1,3,0,NULL,NULL,59,0.1695,NULL,NULL,NULL,3,0.2973
Yeshiva Gedola Tiferes Yerachmiel,Lakewood,NJ,2,2,0,0.3333,NULL,128,0,NULL,NULL,NULL,1,0
Southeastern Esthetics Institute,Columbia,SC,1,3,0,NULL,NULL,119,0.0168,NULL,NULL,NULL,3,0.4833
Installer Institute,Holly Hill,FL,1,3,0,NULL,NULL,48,0.1667,NULL,NULL,NULL,3,0
Caris College,Jeffersonville,IN,2,3,0,NULL,NULL,66,0.0909,NULL,NULL,NULL,2,0.1071
Contra Costa Medical Career College,Antioch,CA,1,3,0,NULL,NULL,963,0.4019,NULL,NULL,NULL,3,0
Anousheh School of Hair,Binghamton,NY,1,3,0,NULL,NULL,10,0,NULL,NULL,NULL,3,0.0909
Another Level Barbering and Cosmetology School,Petersburg,VA,1,3,0,NULL,NULL,42,0.0238,NULL,NULL,NULL,3,0
The Salon Professional Academy-Georgetown,Georgetown,TX,1,3,0,NULL,NULL,37,0.4054,NULL,NULL,NULL,3,0
Elite Academy of Hair Design,Bellaire,OH,1,3,0,NULL,NULL,32,0,NULL,NULL,NULL,3,0.2
Champion Christian College,Hot Springs,AR,3,2,0,NULL,NULL,87,0.0345,NULL,NULL,NULL,1,0
DSDT,Detroit,MI,1,3,0,NULL,NULL,61,0.0164,NULL,NULL,NULL,3,0
The Salon Professional Academy-Delray Beach,Delray Beach,FL,1,3,0,NULL,NULL,24,0.2917,NULL,NULL,NULL,3,1
Lynnes Welding Training-Bismarck,Bismarck,ND,1,3,0,NULL,NULL,16,0,NULL,NULL,NULL,3,0
Toni & Guy Hairdressing Academy-Idaho,Coeur D'Alene,ID,1,3,0,NULL,NULL,52,0.0192,NULL,NULL,NULL,2,0.5556
No Grease Barber School,Charlotte,NC,1,3,0,NULL,NULL,11,0,NULL,NULL,NULL,3,1
Pima Medical Institute-San Marcos,San Marcos,CA,1,3,0,NULL,NULL,223,0.5605,NULL,NULL,NULL,2,0.7301
Bryant & Stratton College-Racine,Mount Pleasant,WI,0,3,0,NULL,NULL,103,0.1553,NULL,NULL,NULL,1,NULL
EDP University of Puerto Rico-Villalba,Villalba,PR,2,2,0,1,NULL,69,1,NULL,NULL,NULL,1,NULL
National American University-Killeen,Killeen,TX,0,3,0,NULL,NULL,0,0,NULL,NULL,NULL,1,NULL
Wade Gordon Hairdressing Academy,Amarillo,TX,1,3,0,NULL,NULL,34,0.6471,NULL,NULL,NULL,3,0.4444
Chicago School of Professional Psychology at Dallas,Richardson,TX,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
American Massage & Bodywork Institute,Vienna,VA,1,3,0,NULL,NULL,83,0.1446,NULL,NULL,NULL,3,0
KCK Beauty & Barber Academy,Jacksonville,FL,1,3,0,NULL,NULL,8,0,NULL,NULL,NULL,3,0.0714
California College of Barbering and Cosmetology,Stockton,CA,1,3,0,NULL,NULL,105,0.5429,NULL,NULL,NULL,3,NULL
Texas Tech University Health Sciences Center-El Paso,El Paso,TX,4,1,1,NULL,NULL,247,0.7287,NULL,NULL,NULL,1,NULL
Ponce Health Sciences University-Centro Universitario de San Juan,Santurce,PR,0,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
The College of Health Care Professions-South San Antonio,San Antonio,TX,0,3,0,NULL,NULL,143,0.8322,NULL,NULL,NULL,2,0.75
Innovate Salon Academy,Ewing,NJ,1,3,0,NULL,NULL,62,0.1129,NULL,NULL,NULL,3,0.375
